id,name,full name,country,birth,height,weight,foot,team,jersey,league,formation,value,wage,position,continent,age
188545,R. Lewandowski,Robert Lewandowski,Poland,1988-08-21,182,79,Right,FC Bayern München,9,Bundesliga,ST,86000000.0,300000.0,Attacker,Europe,32
167495,M. Neuer,Manuel Neuer,Germany,1986-03-27,193,92,Right,FC Bayern München,1,Bundesliga,GK,36000000.0,160000.0,Goalkepper,Europe,34
212622,J. Kimmich,Joshua Kimmich,Germany,1995-02-08,175,73,Right,FC Bayern München,32,Bundesliga,CDM RB CM,58000000.0,135000.0,Midfielder,Europe,25
178603,M. Hummels,Mats Hummels,Germany,1988-12-16,190,93,Right,Borussia Dortmund,15,Bundesliga,CB,41000000.0,125000.0,Defender,Europe,31
188350,M. Reus,Marco Reus,Germany,1989-05-31,180,71,Right,Borussia Dortmund,11,Bundesliga,CAM CF,47500000.0,140000.0,Midfielder,Europe,31
189509,Thiago,Thiago Alcântara do Nascimento,Spain,1991-04-11,175,69,Right,FC Bayern München,6,Bundesliga,CM CDM,44000000.0,165000.0,Midfielder,Europe,29
233049,J. Sancho,Jadon Sancho,England,2000-03-25,180,76,Right,Borussia Dortmund,7,Bundesliga,RM LM CAM,63500000.0,72000.0,Midfielder,Europe,20
177683,Y. Sommer,Yann Sommer,Switzerland,1988-12-17,182,78,Right,Borussia Mönchengladbach,1,Bundesliga,GK,30000000.0,43000.0,Goalkepper,Europe,31
212188,T. Werner,Timo Werner,Germany,1996-03-06,180,76,Right,RB Leipzig,11,Bundesliga,ST,57500000.0,92000.0,Attacker,Europe,24
189596,T. Müller,Thomas Müller,Germany,1989-09-13,185,74,Right,FC Bayern München,25,Bundesliga,CAM RM RW,37500000.0,155000.0,Midfielder,Europe,31
206113,S. Gnabry,Serge Gnabry,Germany,1995-07-14,175,74,Right,FC Bayern München,22,Bundesliga,RM LM RW,47500000.0,130000.0,Midfielder,Europe,25
189242,Coutinho,Philippe Coutinho Correia,Brazil,1992-06-12,172,68,Right,FC Bayern München,10,Bundesliga,CAM LW CM,40500000.0,145000.0,Midfielder,South America,28
212190,N. Süle,Niklas Süle,Germany,1995-09-03,195,97,Right,FC Bayern München,4,Bundesliga,CB,46500000.0,115000.0,Defender,Europe,25
189117,R. Bürki,Roman Bürki,Switzerland,1990-11-14,187,84,Right,Borussia Dortmund,1,Bundesliga,GK,32000000.0,92000.0,Goalkepper,Europe,29
177413,A. Witsel,Axel Witsel,Belgium,1989-01-12,185,81,Right,Borussia Dortmund,28,Bundesliga,CDM CM,31500000.0,105000.0,Midfielder,Europe,31
185122,P. Gulácsi,Péter Gulácsi,Hungary,1990-05-06,190,86,Right,RB Leipzig,1,Bundesliga,GK,31000000.0,69000.0,Goalkepper,Europe,30
209658,L. Goretzka,Leon Goretzka,Germany,1995-02-06,187,76,Right,FC Bayern München,18,Bundesliga,CM CAM CDM,40000000.0,115000.0,Midfielder,Europe,25
220814,L. Hernández,Lucas Hernández Pi,France,1996-02-14,182,76,Left,FC Bayern München,21,Bundesliga,CB LB,37500000.0,105000.0,Defender,Europe,24
213345,K. Coman,Kingsley Coman,France,1996-06-13,177,74,Right,FC Bayern München,29,Bundesliga,LM RM LW,40500000.0,115000.0,Midfielder,Europe,24
212194,J. Brandt,Julian Brandt,Germany,1996-05-02,185,83,Right,Borussia Dortmund,19,Bundesliga,CAM CM LM,40500000.0,94000.0,Midfielder,Europe,24
235790,K. Havertz,Kai Havertz,Germany,1999-06-11,187,83,Left,Bayer 04 Leverkusen,29,Bundesliga,CAM RM,48500000.0,70000.0,Midfielder,Europe,21
197445,D. Alaba,David Olatukunbo Alaba,Austria,1992-06-24,180,78,Left,FC Bayern München,27,Bundesliga,CB LB,26000000.0,110000.0,Defender,Europe,28
