id,name,full name,country,birth,height,weight,foot,team,jersey,league,formation,value,wage
188545,R. Lewandowski,Robert Lewandowski,Poland,"Aug 21, 1988",182,79,Right,FC Bayern München,9,Bundesliga,ST,€86M,€300K
167495,M. Neuer,Manuel Neuer,Germany,"Mar 27, 1986",193,92,Right,FC Bayern München,1,Bundesliga,GK,€36M,€160K
212622,J. Kimmich,Joshua Kimmich,Germany,"Feb 8, 1995",175,73,Right,FC Bayern München,32,Bundesliga,CDM RB CM,€58M,€135K
178603,M. Hummels,Mats Hummels,Germany,"Dec 16, 1988",190,93,Right,Borussia Dortmund,15,Bundesliga,CB,€41M,€125K
188350,M. Reus,Marco Reus,Germany,"May 31, 1989",180,71,Right,Borussia Dortmund,11,Bundesliga,CAM CF,€47.5M,€140K
189509,Thiago,Thiago Alcântara do Nascimento,Spain,"Apr 11, 1991",175,69,Right,FC Bayern München,6,Bundesliga,CM CDM,€44M,€165K
233049,J. Sancho,Jadon Sancho,England,"Mar 25, 2000",180,76,Right,Borussia Dortmund,7,Bundesliga,RM LM CAM,€63.5M,€72K
177683,Y. Sommer,Yann Sommer,Switzerland,"Dec 17, 1988",182,78,Right,Borussia Mönchengladbach,1,Bundesliga,GK,€30M,€43K
212188,T. Werner,Timo Werner,Germany,"Mar 6, 1996",180,76,Right,RB Leipzig,11,Bundesliga,ST,€57.5M,€92K
189596,T. Müller,Thomas Müller,Germany,"Sep 13, 1989",185,74,Right,FC Bayern München,25,Bundesliga,CAM RM RW,€37.5M,€155K
206113,S. Gnabry,Serge Gnabry,Germany,"Jul 14, 1995",175,74,Right,FC Bayern München,22,Bundesliga,RM LM RW,€47.5M,€130K
189242,Coutinho,Philippe Coutinho Correia,Brazil,"Jun 12, 1992",172,68,Right,FC Bayern München,10,Bundesliga,CAM LW CM,€40.5M,€145K
212190,N. Süle,Niklas Süle,Germany,"Sep 3, 1995",195,97,Right,FC Bayern München,4,Bundesliga,CB,€46.5M,€115K
189117,R. Bürki,Roman Bürki,Switzerland,"Nov 14, 1990",187,84,Right,Borussia Dortmund,1,Bundesliga,GK,€32M,€92K
177413,A. Witsel,Axel Witsel,Belgium,"Jan 12, 1989",185,81,Right,Borussia Dortmund,28,Bundesliga,CDM CM,€31.5M,€105K
185122,P. Gulácsi,Péter Gulácsi,Hungary,"May 6, 1990",190,86,Right,RB Leipzig,1,Bundesliga,GK,€31M,€69K
209658,L. Goretzka,Leon Goretzka,Germany,"Feb 6, 1995",187,76,Right,FC Bayern München,18,Bundesliga,CM CAM CDM,€40M,€115K
220814,L. Hernández,Lucas Hernández Pi,France,"Feb 14, 1996",182,76,Left,FC Bayern München,21,Bundesliga,CB LB,€37.5M,€105K
213345,K. Coman,Kingsley Coman,France,"Jun 13, 1996",177,74,Right,FC Bayern München,29,Bundesliga,LM RM LW,€40.5M,€115K
212194,J. Brandt,Julian Brandt,Germany,"May 2, 1996",185,83,Right,Borussia Dortmund,19,Bundesliga,CAM CM LM,€40.5M,€94K
235790,K. Havertz,Kai Havertz,Germany,"Jun 11, 1999",187,83,Left,Bayer 04 Leverkusen,29,Bundesliga,CAM RM,€48.5M,€70K
197445,D. Alaba,David Olatukunbo Alaba,Austria,"Jun 24, 1992",180,78,Left,FC Bayern München,27,Bundesliga,CB LB,€26M,€110K
181458,I. Perišić,Ivan Perišić,Croatia,"Feb 2, 1989",185,79,Left,FC Bayern München,14,Bundesliga,LM LW,€24.5M,€120K
209889,R. Guerreiro,Raphaël Adelino José Guerreiro,Portugal,"Dec 22, 1993",170,71,Left,Borussia Dortmund,13,Bundesliga,LM LB CM,€31M,€94K
203486,T. Hazard,Thorgan Hazard,Belgium,"Mar 29, 1993",175,71,Right,Borussia Dortmund,23,Bundesliga,LM RM CF,€28M,€98K
190941,L. Hrádecký,Lukáš Hrádecký,Finland,"Nov 24, 1989",193,82,Right,Bayer 04 Leverkusen,1,Bundesliga,GK,€18.5M,€67K
199042,C. Aránguiz,Charles Mariano Aránguiz Sandoval,Chile,"Apr 17, 1989",170,69,Right,Bayer 04 Leverkusen,20,Bundesliga,CM CDM,€24M,€86K
192984,K. Casteels,Koen Casteels,Belgium,"Jun 25, 1992",198,86,Left,VfL Wolfsburg,1,Bundesliga,GK,€22M,€50K
188943,K. Trapp,Kevin Trapp,Germany,"Jul 8, 1990",187,86,Right,Eintracht Frankfurt,1,Bundesliga,GK,€19M,€42K
208574,F. Kostić,Filip Kostić,Serbia,"Nov 1, 1992",182,82,Left,Eintracht Frankfurt,10,Bundesliga,LM LWB,€28M,€54K
216354,A. Kramarić,Andrej Kramarić,Croatia,"Jun 19, 1991",177,73,Right,TSG 1899 Hoffenheim,27,Bundesliga,ST CAM,€27M,€61K
204923,M. Sabitzer,Marcel Sabitzer,Austria,"Mar 17, 1994",177,76,Right,RB Leipzig,7,Bundesliga,CAM CM,€31.5M,€70K
219683,C. Tolisso,Corentin Tolisso,France,"Aug 3, 1994",180,81,Right,FC Bayern München,24,Bundesliga,CM CDM,€27.5M,€98K
177610,Javi Martínez,Javier Martínez Aginaga,Spain,"Sep 2, 1988",193,86,Right,FC Bayern München,8,Bundesliga,CDM CB,€18.5M,€100K
235212,A. Hakimi,Achraf Hakimi Mouh,Morocco,"Nov 4, 1998",180,73,Right,Borussia Dortmund,5,Bundesliga,RM RB LB,€30M,€66K
208333,E. Can,Emre Can,Germany,"Jan 12, 1994",182,82,Right,Borussia Dortmund,27,Bundesliga,CM CDM,€27.5M,€86K
193283,T. Delaney,Thomas Delaney,Denmark,"Sep 3, 1991",182,78,Left,Borussia Dortmund,6,Bundesliga,CDM CM,€23M,€82K
207862,M. Ginter,Matthias Ginter,Germany,"Jan 19, 1994",190,86,Right,Borussia Mönchengladbach,28,Bundesliga,CB,€23.5M,€36K
229261,D. Zakaria,Denis Lemi Zakaria Lako Lado,Switzerland,"Nov 20, 1996",190,79,Right,Borussia Mönchengladbach,8,Bundesliga,CDM CB CM,€26M,€32K
202857,K. Bellarabi,Karim Bellarabi,Germany,"Apr 8, 1990",182,81,Right,Bayer 04 Leverkusen,38,Bundesliga,RM,€21.5M,€82K
200610,K. Volland,Kevin Volland,Germany,"Jul 30, 1992",177,83,Left,Bayer 04 Leverkusen,31,Bundesliga,ST RW LW,€24.5M,€85K
236583,J. Pavlenka,Jiří Pavlenka,Czech Republic,"Apr 14, 1992",195,81,Right,SV Werder Bremen,1,Bundesliga,GK,€18M,€31K
193698,O. Baumann,Oliver Baumann,Germany,"Jun 2, 1990",187,82,Right,TSG 1899 Hoffenheim,1,Bundesliga,GK,€18M,€39K
183907,J. Boateng,Jérôme Boateng,Germany,"Sep 3, 1988",193,89,Right,FC Bayern München,17,Bundesliga,CB,€14.5M,€94K
213331,J. Tah,Jonathan Tah,Germany,"Feb 11, 1996",195,97,Right,Bayer 04 Leverkusen,4,Bundesliga,CB,€21.5M,€57K
177458,S. Bender,Sven Bender,Germany,"Apr 27, 1989",185,81,Right,Bayer 04 Leverkusen,5,Bundesliga,CB CDM,€14.5M,€66K
211748,K. Demirbay,Kerem Demirbay,Germany,"Jul 3, 1993",182,73,Left,Bayer 04 Leverkusen,10,Bundesliga,CM,€22M,€69K
177457,L. Bender,Lars Bender,Germany,"Apr 27, 1989",185,78,Right,Bayer 04 Leverkusen,8,Bundesliga,RB CDM CM,€14M,€66K
229906,L. Bailey,Leon Bailey Butler,Jamaica,"Aug 9, 1997",177,78,Left,Bayer 04 Leverkusen,9,Bundesliga,LM RM,€25M,€54K
104389,R. Jarstein,Rune Almenning Jarstein,Norway,"Sep 29, 1984",190,86,Right,Hertha BSC,22,Bundesliga,GK,€8M,€28K
